Num;KEYWORD;SCIENCE.IMAGE;SCIENCE.MEFIMAGE;SCIENCE.IMAGE.FLUXMAP;SCIENCE.SPECTRUM;SCIENCE.CUBE.IFS;SCIENCE.VISIBILITY;SCIENCE.SRCTBL;SCIENCE.MCATALOGUE;SCIENCE.CATALOGTILE;SCIENCE.CATALOG
1;PRODCATG;M;M;M;M;M;M;M;M;M;M
2;ASSOCi;Mapp 27;Mapp 27;Mapp 27;Mapp 27;Mapp 27;Mapp 27;Mapp 27;N/A;Mapp 27;Mapp 27
3;ASSONi;Mapp 28;Mapp 28;M 29;Mapp 28;M 30;Mapp 28;Mapp 28;N/A;Mapp 28;Mapp 28
4;ASSOMi;Mapp 27;Mapp 27;Mapp 27;Mapp 27;Mapp 27;Mapp 27;Mapp 27;N/A;Mapp 27;Mapp 27
5;ORIGIN;M;M;M;M;M;M;M;M;M;M
6;"TELESCOP TELESCi";M;M;M;M;M;M;M;M;M;M
7;"INSTRUME INSTRi";M;M;M;M;M;M;M;M;M;M
8;"FILTER FILTERi";M;M;M;N/A;N/A;N/A;M;Mapp 31;Mapp 31;Mapp 31
9;OBJECT;M;M;M;M Mext;M;M;M;M;M;M
10;"RA DEC";M;M;M;M Mext;M;M;M;N/A;M;Mapp 32
11;EQUINOX;Mapp 33;Mapp 33;Mapp 33;Mapp 33;Mapp 33;Mapp 33;Mapp 33;N/A;Mapp 33;Mapp 33 32
12;RADESYS;M;M;M;M;M;M;M;N/A;M;Mapp 32
13;TIMESYS;Mapp 34;Mapp 34;Mapp 34;Mapp 34;Mapp 34;Mapp 34;Mapp 34;Mapp 34;Mapp 34;Mapp 34
14;EXPTIME;M;M;M;M;M;M;M;N/A;N/A;N/A
15;TEXPTIME;M;M;M;M;M;M;M;N/A;N/A;N/A
16;MJD-OBS;M;M;M;M;M;M;M;M;M;M
17;MJD-END;M;M;M;M;M;M;M;M;M;M
18;"PROG_ID PROGIDi";Meso;Meso;Meso;Meso;Meso;Meso;Meso;Meso;Meso;Meso
19;OBIDi;Meso;Meso;Meso;Meso;Meso;Meso;Meso;Meso;Meso;Meso
20;NCOMBINE;Meso;Meso;Meso;Meso;Meso;Meso;Meso;N/A;N/A;N/A
21;OBSTECH;M;M;M;M;M;M;M;Mapp 35;Mapp 35;Mapp 35
22;FLUXCAL;M;M;M;M;M;N/A;N/A;N/A;N/A;N/A
23;PROCSOFT;M;M;M;M;M;M;M;M;M;M
24;REFERENC;M 36;M 36;M 36;M 36;M 36;M 36;M 36;M 36;M 36;M 36
25;"PROVi PROVXTN";Meso;Meso;Meso;Meso;Meso;Meso;Meso;Meso;N/A;Meso
26;BUNIT;M;Mext;M;NotAlw;M;N/A;N/A;N/A;N/A;N/A
27;GAIN;O;O;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
28;DETRON;O;O;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
29;EFFRON;O;O;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
30;WEIGHT;O;O;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
31;CRVALi;M;Mext;M;N/A;Mext;N/A;N/A;N/A;N/A;N/A
32;CRPIXi;M;Mext;M;N/A;Mext;N/A;N/A;N/A;N/A;N/A
33;CTYPEi;M;Mext;M;N/A;Mext;N/A;N/A;N/A;N/A;N/A
34;CUNITi;M;Mext;M;N/A;Mext;N/A;N/A;N/A;N/A;N/A
35;CDi_j;M;Mext;M;NotAlw;Mext;N/A;N/A;N/A;N/A;N/A
36;CSYERi;R;Rext;R;N/A;Rext;N/A;N/A;N/A;N/A;N/A
37;CRDERi;R;Rext;R;N/A;Rext;N/A;N/A;N/A;N/A;N/A
38;PHOTZP;M;Mext;N/A;N/A;N/A;N/A;Mextapp 37;N/A;N/A;N/A
39;PHOTZPER;R;Rext;N/A;N/A;N/A;N/A;Rext;N/A;N/A;N/A
40;PHOTSYS;M;Mext;N/A;N/A;N/A;N/A;Mext;M;M;M
41;SPECSYS;N/A;N/A;N/A;M;M;M;N/A;N/A;N/A;N/A
42;EXT_OBJ;N/A;N/A;N/A;Mapp 38;N/A;N/A;N/A;N/A;N/A;N/A
43;CONTNORM;N/A;N/A;N/A;M;N/A;N/A;N/A;N/A;N/A;N/A
44;TOT_FLUX;N/A;N/A;N/A;M;N/A;N/A;N/A;N/A;N/A;N/A
45;FLUXERR;N/A;N/A;M;M 39;N/A;N/A;N/A;N/A;N/A;N/A
46;WAVELMIN;N/A;N/A;M;M;M;M;N/A;Mapp 40;Mapp 40;Mapp 40
47;WAVELMAX;N/A;N/A;M;M;M;M;N/A;Mapp 40;Mapp 40;Mapp 40
48;LAMRMS;N/A;N/A;N/A;O;N/A;N/A;N/A;N/A;N/A;N/A
49;LAMNLIN;N/A;N/A;N/A;O;N/A;N/A;N/A;N/A;N/A;N/A
50;SPEC_BIN;N/A;N/A;N/A;M;NotAlw;N/A;N/A;N/A;N/A;N/A
51;SPEC_ERR;N/A;N/A;N/A;R;N/A;M;N/A;N/A;N/A;N/A
52;SPEC_SYE;N/A;N/A;N/A;R;N/A;M;N/A;N/A;N/A;N/A
53;RA_ERR;NotAlw;NotAlw;NotAlw;R;NotAlw;N/A;N/A;N/A;N/A;N/A
54;DEC_ERR;NotAlw;NotAlw;NotAlw;R;NotAlw;N/A;N/A;N/A;N/A;N/A
55;NELEM;N/A;N/A;N/A;Mext;N/A;N/A;N/A;N/A;N/A;N/A
56;VOCLASS;N/A;N/A;N/A;Mext;N/A;N/A;N/A;N/A;N/A;N/A
57;VOPUB;N/A;N/A;N/A;Mext;N/A;N/A;N/A;N/A;N/A;N/A
