#                                                          
# SPHERE/IRDIS DB D_H23 filters transmission               
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   D_H2          D_H3                          
#                                                          
       400.0   0.000005068   0.000007116
       401.0   0.000005060   0.000007105
       402.0   0.000005052   0.000007094
       403.0   0.000005044   0.000007083
       404.0   0.000005036   0.000007072
       405.0   0.000005028   0.000007061
       406.0   0.000005020   0.000007049
       407.0   0.000005012   0.000007038
       408.0   0.000005004   0.000007027
       409.0   0.000004996   0.000007016
       410.0   0.000004989   0.000007005
       411.0   0.000004981   0.000006994
       412.0   0.000004973   0.000006983
       413.0   0.000004965   0.000006972
       414.0   0.000004957   0.000006960
       415.0   0.000004949   0.000006949
       416.0   0.000004941   0.000006938
       417.0   0.000004933   0.000006927
       418.0   0.000004925   0.000006916
       419.0   0.000004917   0.000006905
       420.0   0.000004909   0.000006894
       421.0   0.000004901   0.000006883
       422.0   0.000004894   0.000006872
       423.0   0.000004886   0.000006860
       424.0   0.000004878   0.000006849
       425.0   0.000004870   0.000006838
       426.0   0.000004862   0.000006827
       427.0   0.000004854   0.000006816
       428.0   0.000004846   0.000006805
       429.0   0.000004838   0.000006794
       430.0   0.000004830   0.000006783
       431.0   0.000004822   0.000006771
       432.0   0.000004814   0.000006760
       433.0   0.000004806   0.000006749
       434.0   0.000004798   0.000006738
       435.0   0.000004791   0.000006727
       436.0   0.000004783   0.000006716
       437.0   0.000004775   0.000006705
       438.0   0.000004767   0.000006694
       439.0   0.000004759   0.000006683
       440.0   0.000004751   0.000006671
       441.0   0.000004743   0.000006660
       442.0   0.000004735   0.000006649
       443.0   0.000004727   0.000006638
       444.0   0.000004719   0.000006627
       445.0   0.000004711   0.000006616
       446.0   0.000004703   0.000006605
       447.0   0.000004696   0.000006594
       448.0   0.000004688   0.000006582
       449.0   0.000004680   0.000006571
       450.0   0.000004672   0.000006560
       451.0   0.000004664   0.000006549
       452.0   0.000004656   0.000006538
       453.0   0.000004648   0.000006527
       454.0   0.000004640   0.000006516
       455.0   0.000004632   0.000006505
       456.0   0.000004624   0.000006493
       457.0   0.000004616   0.000006482
       458.0   0.000004608   0.000006471
       459.0   0.000004601   0.000006460
       460.0   0.000004593   0.000006449
       461.0   0.000004585   0.000006438
       462.0   0.000004577   0.000006427
       463.0   0.000004569   0.000006416
       464.0   0.000004561   0.000006405
       465.0   0.000004553   0.000006393
       466.0   0.000004545   0.000006382
       467.0   0.000004537   0.000006371
       468.0   0.000004529   0.000006360
       469.0   0.000004521   0.000006349
       470.0   0.000004513   0.000006338
       471.0   0.000004506   0.000006327
       472.0   0.000004498   0.000006316
       473.0   0.000004490   0.000006304
       474.0   0.000004482   0.000006293
       475.0   0.000004474   0.000006282
       476.0   0.000004466   0.000006271
