#                                                          
# SPHERE/IRDIS DB D_Y23 filters transmission               
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   D_Y2          D_Y3                          
#                                                          
       400.0   0.000000616   0.000000160
       401.0   0.000000347   0.000000098
       402.0   0.000000235   0.000000074
       403.0   0.000000247   0.000000100
       404.0   0.000000253   0.000000127
       405.0   0.000000254   0.000000115
       406.0   0.000000257   0.000000096
       407.0   0.000000261   0.000000120
       408.0   0.000000264   0.000000146
       409.0   0.000000263   0.000000118
       410.0   0.000000260   0.000000066
       411.0   0.000000256   0.000000038
       412.0   0.000000255   0.000000037
       413.0   0.000000258   0.000000059
       414.0   0.000000263   0.000000111
       415.0   0.000000262   0.000000181
       416.0   0.000000252   0.000000227
       417.0   0.000000238   0.000000233
       418.0   0.000000231   0.000000230
       419.0   0.000000238   0.000000243
       420.0   0.000000252   0.000000263
       421.0   0.000000259   0.000000273
       422.0   0.000000245   0.000000272
       423.0   0.000000218   0.000000271
       424.0   0.000000198   0.000000276
       425.0   0.000000199   0.000000284
       426.0   0.000000222   0.000000289
       427.0   0.000000249   0.000000288
       428.0   0.000000250   0.000000283
       429.0   0.000000217   0.000000277
       430.0   0.000000172   0.000000274
       431.0   0.000000140   0.000000276
       432.0   0.000000131   0.000000282
       433.0   0.000000144   0.000000287
       434.0   0.000000179   0.000000283
       435.0   0.000000226   0.000000269
       436.0   0.000000266   0.000000254
       437.0   0.000000283   0.000000250
       438.0   0.000000281   0.000000260
       439.0   0.000000277   0.000000275
       440.0   0.000000281   0.000000277
       441.0   0.000000287   0.000000256
       442.0   0.000000282   0.000000223
       443.0   0.000000262   0.000000198
       444.0   0.000000237   0.000000195
       445.0   0.000000220   0.000000215
       446.0   0.000000220   0.000000247
       447.0   0.000000238   0.000000261
       448.0   0.000000266   0.000000237
       449.0   0.000000287   0.000000188
       450.0   0.000000287   0.000000146
       451.0   0.000000265   0.000000124
       452.0   0.000000238   0.000000123
       453.0   0.000000220   0.000000141
       454.0   0.000000216   0.000000178
       455.0   0.000000226   0.000000228
       456.0   0.000000246   0.000000271
       457.0   0.000000270   0.000000290
       458.0   0.000000292   0.000000286
       459.0   0.000000304   0.000000279
       460.0   0.000000306   0.000000282
       461.0   0.000000301   0.000000291
       462.0   0.000000291   0.000000293
       463.0   0.000000279   0.000000278
       464.0   0.000000265   0.000000251
       465.0   0.000000255   0.000000228
       466.0   0.000000248   0.000000218
       467.0   0.000000250   0.000000224
       468.0   0.000000258   0.000000247
       469.0   0.000000272   0.000000276
       470.0   0.000000287   0.000000295
       471.0   0.000000297   0.000000292
       472.0   0.000000300   0.000000270
       473.0   0.000000296   0.000000244
       474.0   0.000000290   0.000000227
       475.0   0.000000287   0.000000222
       476.0   0.000000289   0.000000231
       477.0   0.000000294   0.000000249
       478.0   0.000000300   0.000000272
       479.0   0.000000302   0.000000291
       480.0   0.000000301   0.000000302
       481.0   0.000000298   0.000000304
       482.0   0.000000296   0.000000299
       483.0   0.000000298   0.000000290
       484.0   0.000000302   0.000000278
       485.0   0.000000303   0.000000265
       486.0   0.000000295   0.000000251
       487.0   0.000000277   0.000000240
       488.0   0.000000252   0.000000233
       489.0   0.000000226   0.000000233
       490.0   0.000000206   0.000000240
       491.0   0.000000195   0.000000253
       492.0   0.000000194   0.000000268
       493.0   0.000000204   0.000000282
       494.0   0.000000222   0.000000289
       495.0   0.000000247   0.000000290
       496.0   0.000000270   0.000000286
       497.0   0.000000286   0.000000281
       498.0   0.000000289   0.000000279
       499.0   0.000000282   0.000000281
       500.0   0.000000272   0.000000284
       501.0   0.000000266   0.000000286
       502.0   0.000000266   0.000000287
       503.0   0.000000271   0.000000285
       504.0   0.000000279   0.000000282
       505.0   0.000000285   0.000000282
       506.0   0.000000285   0.000000284
       507.0   0.000000279   0.000000288
       508.0   0.000000269   0.000000289
       509.0   0.000000259   0.000000284
       510.0   0.000000254   0.000000270
       511.0   0.000000254   0.000000250
       512.0   0.000000260   0.000000228
       513.0   0.000000269   0.000000210
       514.0   0.000000278   0.000000199
       515.0   0.000000281   0.000000196
       516.0   0.000000277   0.000000201
       517.0   0.000000266   0.000000214
       518.0   0.000000251   0.000000232
       519.0   0.000000238   0.000000253
       520.0   0.000000229   0.000000270
       521.0   0.000000226   0.000000278
       522.0   0.000000229   0.000000277
       523.0   0.000000238   0.000000270
       524.0   0.000000250   0.000000261
       525.0   0.000000261   0.000000256
       526.0   0.000000269   0.000000255
       527.0   0.000000273   0.000000259
       528.0   0.000000272   0.000000265
       529.0   0.000000268   0.000000270
       530.0   0.000000263   0.000000272
       531.0   0.000000261   0.000000268
       532.0   0.000000261   0.000000261
       533.0   0.000000263   0.000000253
       534.0   0.000000267   0.000000247
       535.0   0.000000270   0.000000245
       536.0   0.000000271   0.000000247
       537.0   0.000000269   0.000000252
       538.0   0.000000265   0.000000259
       539.0   0.000000260   0.000000263
       540.0   0.000000256   0.000000263
       541.0   0.000000254   0.000000257
       542.0   0.000000254   0.000000247
       543.0   0.000000256   0.000000235
       544.0   0.000000260   0.000000225
       545.0   0.000000263   0.000000219
       546.0   0.000000265   0.000000218
       547.0   0.000000265   0.000000221
       548.0   0.000000263   0.000000228
       549.0   0.000000259   0.000000238
       550.0   0.000000255   0.000000248
       551.0   0.000000252   0.000000256
       552.0   0.000000251   0.000000260
       553.0   0.000000254   0.000000261
       554.0   0.000000257   0.000000258
       555.0   0.000000261   0.000000254
       556.0   0.000000264   0.000000251
       557.0   0.000000263   0.000000251
       558.0   0.000000257   0.000000252
       559.0   0.000000248   0.000000255
       560.0   0.000000236   0.000000259
       561.0   0.000000223   0.000000261
       562.0   0.000000212   0.000000260
       563.0   0.000000204   0.000000258
       564.0   0.000000199   0.000000253
       565.0   0.000000198   0.000000247
       566.0   0.000000201   0.000000243
       567.0   0.000000207   0.000000240
       568.0   0.000000216   0.000000240
       569.0   0.000000226   0.000000242
       570.0   0.000000236   0.000000246
       571.0   0.000000245   0.000000250
       572.0   0.000000252   0.000000254
       573.0   0.000000257   0.000000256
       574.0   0.000000259   0.000000255
       575.0   0.000000259   0.000000253
       576.0   0.000000259   0.000000249
       577.0   0.000000258   0.000000245
       578.0   0.000000258   0.000000243
       579.0   0.000000258   0.000000243
       580.0   0.000000258   0.000000244
       581.0   0.000000257   0.000000247
       582.0   0.000000256   0.000000251
       583.0   0.000000254   0.000000253
       584.0   0.000000252   0.000000252
       585.0   0.000000249   0.000000248
       586.0   0.000000247   0.000000239
       587.0   0.000000245   0.000000229
       588.0   0.000000245   0.000000217
       589.0   0.000000246   0.000000206
       590.0   0.000000248   0.000000197
       591.0   0.000000251   0.000000191
       592.0   0.000000254   0.000000188
       593.0   0.000000255   0.000000189
       594.0   0.000000255   0.000000193
       595.0   0.000000252   0.000000199
       596.0   0.000000247   0.000000208
       597.0   0.000000240   0.000000218
       598.0   0.000000232   0.000000229
       599.0   0.000000225   0.000000238
       600.0   0.000000218   0.000000246
       601.0   0.000000212   0.000000251
       602.0   0.000000209   0.000000254
       603.0   0.000000207   0.000000255
       604.0   0.000000208   0.000000255
       605.0   0.000000210   0.000000254
       606.0   0.000000213   0.000000254
       607.0   0.000000218   0.000000254
       608.0   0.000000223   0.000000254
       609.0   0.000000229   0.000000254
       610.0   0.000000234   0.000000254
       611.0   0.000000240   0.000000253
       612.0   0.000000244   0.000000251
       613.0   0.000000248   0.000000249
       614.0   0.000000250   0.000000246
       615.0   0.000000252   0.000000244
       616.0   0.000000252   0.000000242
       617.0   0.000000250   0.000000241
       618.0   0.000000247   0.000000242
       619.0   0.000000241   0.000000244
       620.0   0.000000235   0.000000246
       621.0   0.000000226   0.000000249
       622.0   0.000000218   0.000000252
       623.0   0.000000209   0.000000254
       624.0   0.000000202   0.000000253
       625.0   0.000000196   0.000000251
       626.0   0.000000192   0.000000247
       627.0   0.000000190   0.000000242
       628.0   0.000000190   0.000000235
       629.0   0.000000194   0.000000229
       630.0   0.000000199   0.000000223
       631.0   0.000000207   0.000000218
       632.0   0.000000217   0.000000215
       633.0   0.000000228   0.000000213
       634.0   0.000000238   0.000000213
       635.0   0.000000246   0.000000215
       636.0   0.000000251   0.000000217
       637.0   0.000000252   0.000000221
       638.0   0.000000248   0.000000226
       639.0   0.000000240   0.000000231
       640.0   0.000000230   0.000000235
       641.0   0.000000220   0.000000240
       642.0   0.000000210   0.000000244
       643.0   0.000000203   0.000000248
       644.0   0.000000198   0.000000251
       645.0   0.000000196   0.000000252
       646.0   0.000000196   0.000000253
       647.0   0.000000199   0.000000252
       648.0   0.000000205   0.000000250
       649.0   0.000000213   0.000000246
       650.0   0.000000222   0.000000240
       651.0   0.000000231   0.000000233
       652.0   0.000000240   0.000000225
       653.0   0.000000247   0.000000217
       654.0   0.000000251   0.000000210
       655.0   0.000000252   0.000000202
       656.0   0.000000251   0.000000196
       657.0   0.000000248   0.000000192
       658.0   0.000000245   0.000000190
       659.0   0.000000242   0.000000190
       660.0   0.000000241   0.000000192
       661.0   0.000000241   0.000000197
       662.0   0.000000243   0.000000203
       663.0   0.000000247   0.000000212
       664.0   0.000000252   0.000000222
       665.0   0.000000257   0.000000233
       666.0   0.000000260   0.000000242
