#                                                          
# SPHERE/IRDIS NB N_CO filter transmission                 
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   N_CO                                        
#                                                          
       400.0   0.000000001
       401.0   0.000000010
       402.0   0.000000019
       403.0   0.000000000
       404.0   0.000000011
       405.0   0.000000052
       406.0   0.000000015
       407.0   0.000000105
       408.0   0.000000229
       409.0   0.000000547
       410.0   0.000001009
       411.0   0.000001485
       412.0   0.000001637
       413.0   0.000001261
       414.0   0.000000843
       415.0   0.000000599
       416.0   0.000000592
       417.0   0.000001624
       418.0   0.000002969
       419.0   0.000003015
       420.0   0.000001671
       421.0   0.000001382
       422.0   0.000002704
       423.0   0.000005373
       424.0   0.000006953
       425.0   0.000006376
       426.0   0.000005370
       427.0   0.000003641
       428.0   0.000001397
       429.0   0.000000562
       430.0   0.000000738
       431.0   0.000001285
       432.0   0.000002033
       433.0   0.000002259
       434.0   0.000002195
       435.0   0.000001813
       436.0   0.000001073
       437.0   0.000000656
       438.0   0.000000260
       439.0   0.000000086
       440.0   0.000000000
       441.0   0.000000000
       442.0   0.000000001
       443.0   0.000000005
       444.0   0.000000000
       445.0   0.000000000
       446.0   0.000000000
       447.0   0.000000001
       448.0   0.000000005
       449.0   0.000000000
       450.0   0.000000000
       451.0   0.000000000
       452.0   0.000000000
       453.0   0.000000001
       454.0   0.000000003
       455.0   0.000000000
       456.0   0.000000008
       457.0   0.000000037
       458.0   0.000000000
       459.0   0.000000016
       460.0   0.000000076
       461.0   0.000000000
       462.0   0.000000002
       463.0   0.000000010
       464.0   0.000000000
       465.0   0.000000000
       466.0   0.000000000
       467.0   0.000000003
       468.0   0.000000026
       469.0   0.000000049
       470.0   0.000000003
       471.0   0.000000012
       472.0   0.000000000
       473.0   0.000000000
       474.0   0.000000000
       475.0   0.000000000
       476.0   0.000000000
       477.0   0.000000063
       478.0   0.000000468
       479.0   0.000000889
       480.0   0.000000568
       481.0   0.000000062
       482.0   0.000000000
       483.0   0.000000004
       484.0   0.000000019
       485.0   0.000000000
       486.0   0.000000000
       487.0   0.000000007
       488.0   0.000000035
       489.0   0.000000000
       490.0   0.000000000
       491.0   0.000000006
       492.0   0.000000027
       493.0   0.000000001
       494.0   0.000000004
       495.0   0.000000000
       496.0   0.000000000
