#                                                          
# SPHERE/IRDIS NB N_CntK2 filter transmission              
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   N_CntK2                                     
#                                                          
       400.0   0.000000000
       401.0   0.000000018
       402.0   0.000000120
       403.0   0.000000138
       404.0   0.000000068
       405.0   0.000000419
       406.0   0.000000737
       407.0   0.000001008
       408.0   0.000000674
       409.0   0.000000530
       410.0   0.000000204
       411.0   0.000000116
       412.0   0.000000318
       413.0   0.000000854
       414.0   0.000001978
       415.0   0.000002692
       416.0   0.000001909
       417.0   0.000001196
       418.0   0.000001118
       419.0   0.000000988
       420.0   0.000000834
       421.0   0.000000447
       422.0   0.000000016
       423.0   0.000000130
       424.0   0.000000374
       425.0   0.000000863
       426.0   0.000000936
       427.0   0.000001073
       428.0   0.000000795
       429.0   0.000000256
       430.0   0.000000032
       431.0   0.000000211
       432.0   0.000000282
       433.0   0.000000238
       434.0   0.000000129
       435.0   0.000000032
       436.0   0.000000000
       437.0   0.000000000
       438.0   0.000000001
       439.0   0.000000004
       440.0   0.000000005
       441.0   0.000000027
       442.0   0.000000000
       443.0   0.000000000
       444.0   0.000000000
       445.0   0.000000009
       446.0   0.000000047
       447.0   0.000000002
       448.0   0.000000009
       449.0   0.000000000
       450.0   0.000000008
       451.0   0.000000044
       452.0   0.000000005
       453.0   0.000000025
       454.0   0.000000000
       455.0   0.000000015
       456.0   0.000000098
       457.0   0.000000103
       458.0   0.000000002
       459.0   0.000000017
       460.0   0.000000046
       461.0   0.000000000
       462.0   0.000000003
       463.0   0.000000024
       464.0   0.000000040
       465.0   0.000000000
       466.0   0.000000000
       467.0   0.000000000
       468.0   0.000000010
       469.0   0.000000051
       470.0   0.000000000
       471.0   0.000000012
       472.0   0.000000064
       473.0   0.000000000
       474.0   0.000000004
       475.0   0.000000021
       476.0   0.000000000
       477.0   0.000000000
       478.0   0.000000000
       479.0   0.000000002
       480.0   0.000000009
       481.0   0.000000000
       482.0   0.000000000
       483.0   0.000000009
       484.0   0.000000047
       485.0   0.000000000
       486.0   0.000000000
       487.0   0.000000018
       488.0   0.000000200
       489.0   0.000000738
       490.0   0.000001022
       491.0   0.000000784
       492.0   0.000000312
       493.0   0.000000103
       494.0   0.000000105
       495.0   0.000000048
       496.0   0.000000235
       497.0   0.000000867
       498.0   0.000001547
       499.0   0.000001660
       500.0   0.000001861
       501.0   0.000002165
       502.0   0.000001470
       503.0   0.000000565
       504.0   0.000000249
       505.0   0.000000295
       506.0   0.000000716
       507.0   0.000001174
       508.0   0.000001132
       509.0   0.000000470
       510.0   0.000000001
       511.0   0.000000007
       512.0   0.000000006
       513.0   0.000000033
       514.0   0.000000000
       515.0   0.000000000
       516.0   0.000000000
       517.0   0.000000000
       518.0   0.000000000
       519.0   0.000000000
       520.0   0.000000000
       521.0   0.000000000
       522.0   0.000000000
       523.0   0.000000000
       524.0   0.000000000
       525.0   0.000000000
       526.0   0.000000000
       527.0   0.000000000
       528.0   0.000000000
       529.0   0.000000004
       530.0   0.000000018
       531.0   0.000000000
       532.0   0.000000000
       533.0   0.000000000
       534.0   0.000000000
       535.0   0.000000000
       536.0   0.000000000
       537.0   0.000000004
       538.0   0.000000025
       539.0   0.000000017
       540.0   0.000000000
       541.0   0.000000003
       542.0   0.000000018
       543.0   0.000000027
       544.0   0.000000009
       545.0   0.000000048
       546.0   0.000000002
       547.0   0.000000011
       548.0   0.000000019
       549.0   0.000000003
       550.0   0.000000004
       551.0   0.000000026
       552.0   0.000000040
       553.0   0.000000000
       554.0   0.000000000
       555.0   0.000000022
       556.0   0.000000116
       557.0   0.000000000
       558.0   0.000000000
       559.0   0.000000001
       560.0   0.000000007
       561.0   0.000000000
       562.0   0.000000000
       563.0   0.000000000
       564.0   0.000000000
       565.0   0.000000005
       566.0   0.000000029
       567.0   0.000000012
       568.0   0.000000000
       569.0   0.000000000
       570.0   0.000000012
       571.0   0.000000064
       572.0   0.000000023
       573.0   0.000000099
       574.0   0.000000000
       575.0   0.000000000
       576.0   0.000000000
       577.0   0.000000000
       578.0   0.000000000
       579.0   0.000000000
       580.0   0.000000000
       581.0   0.000000000
       582.0   0.000000000
       583.0   0.000000000
       584.0   0.000000003
       585.0   0.000000017
       586.0   0.000000000
       587.0   0.000000000
       588.0   0.000000000
       589.0   0.000000000
       590.0   0.000000000
       591.0   0.000000000
       592.0   0.000000000
       593.0   0.000000000
       594.0   0.000000000
       595.0   0.000000000
       596.0   0.000000000
       597.0   0.000000000
       598.0   0.000000000
       599.0   0.000000000
       600.0   0.000000001
       601.0   0.000000005
       602.0   0.000000000
       603.0   0.000000000
       604.0   0.000000003
       605.0   0.000000014
       606.0   0.000000000
       607.0   0.000000008
       608.0   0.000000047
       609.0   0.000000032
       610.0   0.000000000
       611.0   0.000000000
       612.0   0.000000000
       613.0   0.000000000
       614.0   0.000000000
       615.0   0.000000006
       616.0   0.000000029
       617.0   0.000000000
       618.0   0.000000011
       619.0   0.000000059
       620.0   0.000000000
       621.0   0.000000000
       622.0   0.000000000
       623.0   0.000000002
       624.0   0.000000038
       625.0   0.000000318
       626.0   0.000001200
       627.0   0.000001847
       628.0   0.000001698
       629.0   0.000001233
       630.0   0.000000854
       631.0   0.000000881
       632.0   0.000001050
       633.0   0.000001412
       634.0   0.000002074
       635.0   0.000003463
       636.0   0.000004709
       637.0   0.000004800
       638.0   0.000003290
       639.0   0.000002099
       640.0   0.000001518
       641.0   0.000001435
       642.0   0.000001318
       643.0   0.000001212
       644.0   0.000001246
       645.0   0.000002091
       646.0   0.000003213
       647.0   0.000004359
       648.0   0.000004703
       649.0   0.000003684
       650.0   0.000003109
       651.0   0.000003201
       652.0   0.000003302
       653.0   0.000003649
       654.0   0.000003655
       655.0   0.000004314
       656.0   0.000005464
       657.0   0.000006762
       658.0   0.000008186
       659.0   0.000009380
       660.0   0.000010421
       661.0   0.000010861
       662.0   0.000010952
       663.0   0.000011016
       664.0   0.000010871
       665.0   0.000010540
       666.0   0.000009973
       667.0   0.000008197
       668.0   0.000005432
       669.0   0.000003611
       670.0   0.000002897
       671.0   0.000002418
       672.0   0.000002080
       673.0   0.000002194
       674.0   0.000002332
       675.0   0.000004045
       676.0   0.000007063
       677.0   0.000008540
       678.0   0.000006342
       679.0   0.000003155
       680.0   0.000001089
       681.0   0.000000257
       682.0   0.000000000
       683.0   0.000000000
       684.0   0.000000015
       685.0   0.000000078
       686.0   0.000000000
       687.0   0.000000000
       688.0   0.000000000
       689.0   0.000000000
       690.0   0.000000000
       691.0   0.000000000
       692.0   0.000000003
       693.0   0.000000015
       694.0   0.000000000
       695.0   0.000000007
       696.0   0.000000056
       697.0   0.000000108
       698.0   0.000000000
       699.0   0.000000000
       700.0   0.000000000
       701.0   0.000000003
       702.0   0.000000016
       703.0   0.000000000
       704.0   0.000000002
       705.0   0.000000011
       706.0   0.000000000
       707.0   0.000000000
       708.0   0.000000000
       709.0   0.000000000
       710.0   0.000000000
       711.0   0.000000000
       712.0   0.000000000
       713.0   0.000000000
       714.0   0.000000000
       715.0   0.000000000
       716.0   0.000000000
       717.0   0.000000000
       718.0   0.000000009
       719.0   0.000000045
       720.0   0.000000000
       721.0   0.000000000
       722.0   0.000000000
       723.0   0.000000000
       724.0   0.000000000
       725.0   0.000000002
       726.0   0.000000011
       727.0   0.000000000
       728.0   0.000000003
       729.0   0.000000015
       730.0   0.000000002
       731.0   0.000000009
       732.0   0.000000000
       733.0   0.000000000
       734.0   0.000000000
       735.0   0.000000000
       736.0   0.000000000
       737.0   0.000000000
       738.0   0.000000000
       739.0   0.000000000
       740.0   0.000000000
       741.0   0.000000000
       742.0   0.000000000
       743.0   0.000000000
       744.0   0.000000000
       745.0   0.000000000
       746.0   0.000000000
       747.0   0.000000016
       748.0   0.000000082
       749.0   0.000000009
       750.0   0.000000045
       751.0   0.000000002
       752.0   0.000000019
       753.0   0.000000046
       754.0   0.000000012
       755.0   0.000000065
       756.0   0.000000026
       757.0   0.000000086
       758.0   0.000000000
       759.0   0.000000000
       760.0   0.000000000
       761.0   0.000000000
       762.0   0.000000011
       763.0   0.000000060
       764.0   0.000000026
       765.0   0.000000000
       766.0   0.000000000
       767.0   0.000000000
       768.0   0.000000000
       769.0   0.000000006
       770.0   0.000000028
       771.0   0.000000013
       772.0   0.000000070
       773.0   0.000000000
       774.0   0.000000002
       775.0   0.000000008
       776.0   0.000000015
       777.0   0.000000108
       778.0   0.000000147
       779.0   0.000000000
       780.0   0.000000000
       781.0   0.000000000
       782.0   0.000000000
       783.0   0.000000000
       784.0   0.000000000
       785.0   0.000000013
       786.0   0.000000069
       787.0   0.000000002
       788.0   0.000000009
       789.0   0.000000000
       790.0   0.000000000
       791.0   0.000000035
       792.0   0.000000184
       793.0   0.000000000
       794.0   0.000000021
       795.0   0.000000110
       796.0   0.000000000
       797.0   0.000000007
       798.0   0.000000034
       799.0   0.000000000
       800.0   0.000000000
       801.0   0.000000000
       802.0   0.000000000
       803.0   0.000000000
       804.0   0.000000000
       805.0   0.000000000
       806.0   0.000000020
       807.0   0.000000105
       808.0   0.000000000
       809.0   0.000000000
       810.0   0.000000000
       811.0   0.000000057
       812.0   0.000000525
       813.0   0.000001932
       814.0   0.000005103
       815.0   0.000006685
       816.0   0.000004503
       817.0   0.000002292
       818.0   0.000001996
       819.0   0.000003139
       820.0   0.000004994
       821.0   0.000008135
       822.0   0.000009878
       823.0   0.000009735
       824.0   0.000009240
       825.0   0.000007558
       826.0   0.000005128
       827.0   0.000003177
       828.0   0.000001787
       829.0   0.000001166
       830.0   0.000001105
       831.0   0.000001877
       832.0   0.000002318
       833.0   0.000002340
       834.0   0.000001703
       835.0   0.000001108
       836.0   0.000000734
       837.0   0.000000656
       838.0   0.000000527
       839.0   0.000001153
       840.0   0.000001920
       841.0   0.000003549
       842.0   0.000004862
       843.0   0.000006586
       844.0   0.000008580
       845.0   0.000011861
       846.0   0.000013444
       847.0   0.000009860
       848.0   0.000005811
       849.0   0.000004568
       850.0   0.000002522
       851.0   0.000003144
       852.0   0.000003909
       853.0   0.000003417
       854.0   0.000003565
       855.0   0.000003340
       856.0   0.000001939
       857.0   0.000001514
       858.0   0.000001532
       859.0   0.000001377
       860.0   0.000001865
       861.0   0.000001835
       862.0   0.000001460
       863.0   0.000001188
       864.0   0.000002145
       865.0   0.000001269
       866.0   0.000001114
       867.0   0.000000051
       868.0   0.000000549
       869.0   0.000002472
       870.0   0.000005652
       871.0   0.000004056
       872.0   0.000009611
       873.0   0.000007981
       874.0   0.000009834
       875.0   0.000008078
       876.0   0.000008295
       877.0   0.000001968
       878.0   0.000004905
       879.0   0.000007121
       880.0   0.000006923
       881.0   0.000004295
       882.0   0.000016039
       883.0   0.000019421
       884.0   0.000011958
       885.0   0.000008896
       886.0   0.000018425
       887.0   0.000018683
       888.0   0.000006696
       889.0   0.000010659
       890.0   0.000015573
       891.0   0.000012881
       892.0   0.000015199
       893.0   0.000007758
       894.0   0.000013443
       895.0   0.000013680
       896.0   0.000010944
       897.0   0.000021171
       898.0   0.000016253
       899.0   0.000012830
       900.0   0.000016852
       901.0   0.000013513
       902.0   0.000004079
       903.0   0.000011306
       904.0   0.000016570
       905.0   0.000021216
       906.0   0.000010906
       907.0   0.000009647
       908.0   0.000014996
       909.0   0.000018815
       910.0   0.000013370
       911.0   0.000014942
       912.0   0.000003818
       913.0   0.000002051
       914.0   0.000004545
       915.0   0.000009850
       916.0   0.000007211
       917.0   0.000004148
       918.0   0.000007892
       919.0   0.000014314
       920.0   0.000014649
       921.0   0.000009661
       922.0   0.000009812
       923.0   0.000007064
       924.0   0.000007182
       925.0   0.000008800
       926.0   0.000009009
       927.0   0.000015157
       928.0   0.000007646
       929.0   0.000018716
       930.0   0.000005668
       931.0   0.000022820
       932.0   0.000015817
       933.0   0.000019714
       934.0   0.000023148
       935.0   0.000023815
       936.0   0.000020836
       937.0   0.000019728
       938.0   0.000019481
       939.0   0.000019207
       940.0   0.000017441
       941.0   0.000020599
       942.0   0.000021752
       943.0   0.000019167
       944.0   0.000011559
       945.0   0.000014254
       946.0   0.000011352
       947.0   0.000017235
       948.0   0.000012088
       949.0   0.000014981
       950.0   0.000014271
       951.0   0.000006340
       952.0   0.000013861
       953.0   0.000010305
       954.0   0.000012632
       955.0   0.000010872
       956.0   0.000010635
       957.0   0.000014312
       958.0   0.000002126
       959.0   0.000013491
       960.0   0.000015122
       961.0   0.000008841
       962.0   0.000011131
       963.0   0.000013446
       964.0   0.000008236
       965.0   0.000019700
       966.0   0.000015239
       967.0   0.000012687
       968.0   0.000011846
       969.0   0.000011241
       970.0   0.000013982
       971.0   0.000019851
       972.0   0.000019173
       973.0   0.000020803
       974.0   0.000018504
       975.0   0.000026162
       976.0   0.000024976
       977.0   0.000034883
       978.0   0.000019665
       979.0   0.000022776
       980.0   0.000022795
       981.0   0.000023099
       982.0   0.000027100
       983.0   0.000020647
       984.0   0.000021339
       985.0   0.000019934
       986.0   0.000028661
       987.0   0.000030367
       988.0   0.000014224
       989.0   0.000019083
       990.0   0.000014335
       991.0   0.000025728
       992.0   0.000021505
       993.0   0.000017429
       994.0   0.000012320
       995.0   0.000010710
       996.0   0.000007722
       997.0   0.000017115
       998.0   0.000015193
       999.0   0.000002747
      1000.0   0.000007417
      1001.0   0.000010029
      1002.0   0.000012348
      1003.0   0.000009293
      1004.0   0.000009468
      1005.0   0.000006232
      1006.0   0.000021420
      1007.0   0.000017134
      1008.0   0.000014830
      1009.0   0.000019909
      1010.0   0.000019744
      1011.0   0.000025155
      1012.0   0.000033492
      1013.0   0.000030593
      1014.0   0.000026204
      1015.0   0.000023088
      1016.0   0.000038076
      1017.0   0.000026801
      1018.0   0.000030302
      1019.0   0.000023630
      1020.0   0.000030307
      1021.0   0.000032527
      1022.0   0.000035730
      1023.0   0.000029943
      1024.0   0.000031809
      1025.0   0.000021878
      1026.0   0.000017564
      1027.0   0.000018181
      1028.0   0.000019394
      1029.0   0.000019503
      1030.0   0.000021307
      1031.0   0.000017428
      1032.0   0.000012887
      1033.0   0.000018536
      1034.0   0.000022035
      1035.0   0.000029308
      1036.0   0.000023304
      1037.0   0.000016518
      1038.0   0.000013926
      1039.0   0.000010066
      1040.0   0.000007002
      1041.0   0.000018491
      1042.0   0.000021418
      1043.0   0.000019178
      1044.0   0.000028408
      1045.0   0.000016480
      1046.0   0.000021441
      1047.0   0.000013461
      1048.0   0.000018887
      1049.0   0.000016930
      1050.0   0.000016363
      1051.0   0.000023951
      1052.0   0.000017802
      1053.0   0.000027555
      1054.0   0.000022870
      1055.0   0.000029175
      1056.0   0.000021262
      1057.0   0.000018016
      1058.0   0.000021972
      1059.0   0.000022122
      1060.0   0.000017772
      1061.0   0.000016186
      1062.0   0.000016329
      1063.0   0.000017326
      1064.0   0.000022370
      1065.0   0.000022033
      1066.0   0.000030118
      1067.0   0.000015590
      1068.0   0.000007569
      1069.0   0.000012780
      1070.0   0.000019795
      1071.0   0.000021805
      1072.0   0.000009001
      1073.0   0.000014436
      1074.0   0.000009490
      1075.0   0.000009805
      1076.0   0.000014498
      1077.0   0.000008219
      1078.0   0.000012258
      1079.0   0.000020208
      1080.0   0.000009522
      1081.0   0.000011217
      1082.0   0.000004983
      1083.0   0.000007137
      1084.0   0.000011053
      1085.0   0.000005048
      1086.0   0.000007483
      1087.0   0.000013200
      1088.0   0.000022916
      1089.0   0.000014114
      1090.0   0.000015451
      1091.0   0.000017000
      1092.0   0.000017573
      1093.0   0.000016519
      1094.0   0.000006552
      1095.0   0.000008834
      1096.0   0.000012656
      1097.0   0.000008913
      1098.0   0.000007495
      1099.0   0.000017819
      1100.0   0.000008105
      1101.0   0.000015148
      1102.0   0.000017059
      1103.0   0.000014142
      1104.0   0.000009767
      1105.0   0.000014909
      1106.0   0.000023889
      1107.0   0.000015045
      1108.0   0.000019414
      1109.0   0.000012150
      1110.0   0.000012490
      1111.0   0.000015375
      1112.0   0.000024090
      1113.0   0.000020020
      1114.0   0.000017519
      1115.0   0.000020106
      1116.0   0.000022786
      1117.0   0.000018246
      1118.0   0.000017925
      1119.0   0.000019471
      1120.0   0.000016114
      1121.0   0.000010611
      1122.0   0.000008296
      1123.0   0.000019090
      1124.0   0.000016691
      1125.0   0.000020790
      1126.0   0.000019509
      1127.0   0.000012250
      1128.0   0.000024098
      1129.0   0.000015909
      1130.0   0.000007863
      1131.0   0.000012575
      1132.0   0.000004866
      1133.0   0.000005860
      1134.0   0.000015772
      1135.0   0.000004219
      1136.0   0.000004174
      1137.0   0.000020873
      1138.0   0.000013610
      1139.0   0.000007100
      1140.0   0.000012235
      1141.0   0.000017474
      1142.0   0.000011334
      1143.0   0.000013814
      1144.0   0.000016809
      1145.0   0.000016079
      1146.0   0.000010840
      1147.0   0.000003321
      1148.0   0.000007942
      1149.0   0.000012004
      1150.0   0.000011973
      1151.0   0.000019055
      1152.0   0.000024054
      1153.0   0.000020759
      1154.0   0.000021344
      1155.0   0.000016982
      1156.0   0.000014224
      1157.0   0.000012687
      1158.0   0.000003343
      1159.0   0.000018491
      1160.0   0.000006400
      1161.0   0.000009074
      1162.0   0.000011094
      1163.0   0.000016326
      1164.0   0.000012338
      1165.0   0.000016813
      1166.0   0.000013421
      1167.0   0.000014934
      1168.0   0.000017021
      1169.0   0.000014332
      1170.0   0.000014351
