#                                                          
# SPHERE/IRDIS NB N_H2 filter transmission                 
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   N_H2                                        
#                                                          
       400.0   0.000000675
       401.0   0.000000853
       402.0   0.000000883
       403.0   0.000000715
       404.0   0.000000805
       405.0   0.000000911
       406.0   0.000000639
       407.0   0.000000323
       408.0   0.000000471
       409.0   0.000000875
       410.0   0.000000872
       411.0   0.000001133
       412.0   0.000001915
       413.0   0.000002233
       414.0   0.000001628
       415.0   0.000000532
       416.0   0.000000034
       417.0   0.000000200
       418.0   0.000000182
       419.0   0.000000038
       420.0   0.000000137
       421.0   0.000000080
       422.0   0.000000000
       423.0   0.000000000
       424.0   0.000000097
       425.0   0.000000057
       426.0   0.000000000
       427.0   0.000000005
       428.0   0.000000003
       429.0   0.000000000
       430.0   0.000000000
       431.0   0.000000044
       432.0   0.000000044
       433.0   0.000000011
       434.0   0.000000088
       435.0   0.000000052
       436.0   0.000000000
       437.0   0.000000000
       438.0   0.000000000
       439.0   0.000000000
       440.0   0.000000000
       441.0   0.000000000
       442.0   0.000000000
       443.0   0.000000000
       444.0   0.000000000
       445.0   0.000000000
       446.0   0.000000000
       447.0   0.000000350
       448.0   0.000000891
       449.0   0.000000722
       450.0   0.000000188
       451.0   0.000000000
       452.0   0.000000000
       453.0   0.000000000
       454.0   0.000000000
       455.0   0.000000000
       456.0   0.000000000
       457.0   0.000000000
       458.0   0.000000000
       459.0   0.000000000
       460.0   0.000000000
       461.0   0.000000000
       462.0   0.000000000
       463.0   0.000000000
       464.0   0.000000026
       465.0   0.000000841
       466.0   0.000003534
       467.0   0.000006671
       468.0   0.000008758
       469.0   0.000011366
       470.0   0.000014382
       471.0   0.000014948
       472.0   0.000015468
       473.0   0.000017049
       474.0   0.000015155
       475.0   0.000012287
       476.0   0.000011859
       477.0   0.000009530
       478.0   0.000005078
       479.0   0.000004215
       480.0   0.000007555
       481.0   0.000009399
       482.0   0.000006504
       483.0   0.000003692
       484.0   0.000004865
       485.0   0.000006967
       486.0   0.000005733
       487.0   0.000002836
       488.0   0.000001253
       489.0   0.000000895
       490.0   0.000001380
       491.0   0.000003135
       492.0   0.000004547
       493.0   0.000003555
       494.0   0.000001396
       495.0   0.000000315
       496.0   0.000000164
       497.0   0.000000515
       498.0   0.000001798
       499.0   0.000003106
       500.0   0.000002366
       501.0   0.000000770
       502.0   0.000000083
       503.0   0.000000000
       504.0   0.000000000
       505.0   0.000000000
       506.0   0.000000000
       507.0   0.000000000
       508.0   0.000000000
       509.0   0.000000000
       510.0   0.000000000
       511.0   0.000000000
       512.0   0.000000000
       513.0   0.000000000
       514.0   0.000000000
       515.0   0.000000000
       516.0   0.000000000
       517.0   0.000000000
       518.0   0.000000000
       519.0   0.000000000
       520.0   0.000000000
       521.0   0.000000000
       522.0   0.000000000
       523.0   0.000000000
       524.0   0.000000000
       525.0   0.000000000
       526.0   0.000000000
       527.0   0.000000000
       528.0   0.000000000
       529.0   0.000000000
       530.0   0.000000000
       531.0   0.000000000
       532.0   0.000000000
       533.0   0.000000000
       534.0   0.000000005
       535.0   0.000000003
       536.0   0.000000000
       537.0   0.000000000
