#                                                          
# SPHERE/IRDIS NB N_HeI filter transmission                
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   N_HeI                                       
#                                                          
       400.0   0.000000090
       401.0   0.000000008
       402.0   0.000000000
       403.0   0.000000013
       404.0   0.000000001
       405.0   0.000000063
       406.0   0.000000006
       407.0   0.000000000
       408.0   0.000000071
       409.0   0.000000006
       410.0   0.000000000
       411.0   0.000000000
       412.0   0.000000000
       413.0   0.000000000
       414.0   0.000000000
       415.0   0.000000000
       416.0   0.000000000
       417.0   0.000000000
       418.0   0.000000000
       419.0   0.000000000
       420.0   0.000000008
       421.0   0.000000001
       422.0   0.000000000
       423.0   0.000000000
       424.0   0.000000000
       425.0   0.000000053
       426.0   0.000000005
       427.0   0.000000000
       428.0   0.000000000
       429.0   0.000000043
       430.0   0.000000004
       431.0   0.000000000
       432.0   0.000000000
       433.0   0.000000030
       434.0   0.000000003
       435.0   0.000000000
       436.0   0.000000005
       437.0   0.000000001
       438.0   0.000000000
       439.0   0.000000000
       440.0   0.000000037
       441.0   0.000000081
       442.0   0.000000007
       443.0   0.000000088
       444.0   0.000000008
       445.0   0.000000120
       446.0   0.000000055
       447.0   0.000000054
       448.0   0.000000004
       449.0   0.000000122
       450.0   0.000000109
       451.0   0.000000009
       452.0   0.000000113
       453.0   0.000000010
       454.0   0.000000004
       455.0   0.000000000
       456.0   0.000000000
       457.0   0.000000000
       458.0   0.000000000
       459.0   0.000000000
       460.0   0.000000000
       461.0   0.000000028
       462.0   0.000000002
       463.0   0.000000045
       464.0   0.000000056
       465.0   0.000000016
       466.0   0.000000018
       467.0   0.000000002
       468.0   0.000000054
       469.0   0.000000005
       470.0   0.000000000
       471.0   0.000000000
       472.0   0.000000000
       473.0   0.000000055
       474.0   0.000000005
       475.0   0.000000009
       476.0   0.000000001
       477.0   0.000000000
       478.0   0.000000000
       479.0   0.000000059
       480.0   0.000000005
       481.0   0.000000056
       482.0   0.000000005
       483.0   0.000000000
       484.0   0.000000011
       485.0   0.000000046
       486.0   0.000000004
       487.0   0.000000019
       488.0   0.000000002
       489.0   0.000000000
       490.0   0.000000054
       491.0   0.000000005
       492.0   0.000000010
       493.0   0.000000001
       494.0   0.000000051
       495.0   0.000000005
       496.0   0.000000025
       497.0   0.000000028
       498.0   0.000000002
       499.0   0.000000019
       500.0   0.000000002
       501.0   0.000000055
       502.0   0.000000081
       503.0   0.000000007
       504.0   0.000000000
       505.0   0.000000017
       506.0   0.000000002
       507.0   0.000000000
       508.0   0.000000000
       509.0   0.000000002
       510.0   0.000000000
       511.0   0.000000000
       512.0   0.000000034
       513.0   0.000000047
       514.0   0.000000029
       515.0   0.000000051
       516.0   0.000000004
