#                                                          
# SPHERE/IRDIS NB N_PaB filter transmission                
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   N_PaB                                       
#                                                          
       400.0   0.000000000
       401.0   0.000000090
       402.0   0.000000088
       403.0   0.000000058
       404.0   0.000000012
       405.0   0.000000054
       406.0   0.000000016
       407.0   0.000000095
       408.0   0.000000029
       409.0   0.000000098
       410.0   0.000000029
       411.0   0.000000000
       412.0   0.000000000
       413.0   0.000000000
       414.0   0.000000000
       415.0   0.000000020
       416.0   0.000000006
       417.0   0.000000057
       418.0   0.000000017
       419.0   0.000000000
       420.0   0.000000068
       421.0   0.000000026
       422.0   0.000000002
       423.0   0.000000059
       424.0   0.000000035
       425.0   0.000000005
       426.0   0.000000000
       427.0   0.000000000
       428.0   0.000000000
       429.0   0.000000031
       430.0   0.000000009
       431.0   0.000000009
       432.0   0.000000003
       433.0   0.000000000
       434.0   0.000000000
       435.0   0.000000000
       436.0   0.000000000
       437.0   0.000000000
       438.0   0.000000000
       439.0   0.000000016
       440.0   0.000000005
       441.0   0.000000000
       442.0   0.000000000
       443.0   0.000000000
       444.0   0.000000000
       445.0   0.000000000
       446.0   0.000000000
       447.0   0.000000000
       448.0   0.000000000
       449.0   0.000000000
       450.0   0.000000000
       451.0   0.000000000
       452.0   0.000000000
       453.0   0.000000000
       454.0   0.000000000
       455.0   0.000000000
       456.0   0.000000000
       457.0   0.000000000
       458.0   0.000000000
       459.0   0.000000000
       460.0   0.000000000
       461.0   0.000000000
       462.0   0.000000000
       463.0   0.000000000
       464.0   0.000000000
       465.0   0.000000000
       466.0   0.000000000
       467.0   0.000000000
       468.0   0.000000000
       469.0   0.000000000
       470.0   0.000000000
       471.0   0.000000000
       472.0   0.000000000
       473.0   0.000000000
       474.0   0.000000000
       475.0   0.000000000
       476.0   0.000000000
       477.0   0.000000000
       478.0   0.000000000
       479.0   0.000000000
       480.0   0.000000000
       481.0   0.000000000
       482.0   0.000000000
       483.0   0.000000000
       484.0   0.000000000
       485.0   0.000000000
       486.0   0.000000000
       487.0   0.000000000
       488.0   0.000000000
       489.0   0.000000000
       490.0   0.000000000
       491.0   0.000000000
       492.0   0.000000000
       493.0   0.000000000
       494.0   0.000000000
       495.0   0.000000000
       496.0   0.000000000
       497.0   0.000000000
       498.0   0.000000000
       499.0   0.000000000
       500.0   0.000000000
       501.0   0.000000000
       502.0   0.000000000
       503.0   0.000000000
       504.0   0.000000040
       505.0   0.000000012
       506.0   0.000000013
       507.0   0.000000004
       508.0   0.000000000
       509.0   0.000000000
       510.0   0.000000000
       511.0   0.000000000
       512.0   0.000000040
       513.0   0.000000012
       514.0   0.000000000
       515.0   0.000000000
       516.0   0.000000000
       517.0   0.000000037
       518.0   0.000000011
       519.0   0.000000019
       520.0   0.000000016
       521.0   0.000000003
       522.0   0.000000000
       523.0   0.000000003
       524.0   0.000000001
       525.0   0.000000000
       526.0   0.000000026
       527.0   0.000000023
       528.0   0.000000005
       529.0   0.000000000
       530.0   0.000000002
       531.0   0.000000001
       532.0   0.000000000
       533.0   0.000000000
       534.0   0.000000125
       535.0   0.000000038
       536.0   0.000000000
       537.0   0.000000020
       538.0   0.000000006
       539.0   0.000000010
       540.0   0.000000003
       541.0   0.000000000
       542.0   0.000000011
       543.0   0.000000003
       544.0   0.000000008
       545.0   0.000000042
       546.0   0.000000012
       547.0   0.000000000
       548.0   0.000000000
       549.0   0.000000000
       550.0   0.000000001
       551.0   0.000000000
       552.0   0.000000000
       553.0   0.000000024
       554.0   0.000000007
       555.0   0.000000023
       556.0   0.000000007
       557.0   0.000000000
       558.0   0.000000149
       559.0   0.000000045
       560.0   0.000000000
       561.0   0.000000031
       562.0   0.000000009
       563.0   0.000000000
       564.0   0.000000000
       565.0   0.000000000
       566.0   0.000000000
       567.0   0.000000000
       568.0   0.000000000
       569.0   0.000000000
       570.0   0.000000000
       571.0   0.000000003
       572.0   0.000000039
       573.0   0.000000011
       574.0   0.000000000
       575.0   0.000000004
       576.0   0.000000001
       577.0   0.000000075
       578.0   0.000000022
       579.0   0.000000000
       580.0   0.000000000
       581.0   0.000000000
       582.0   0.000000040
       583.0   0.000000012
       584.0   0.000000000
       585.0   0.000000028
       586.0   0.000000008
       587.0   0.000000084
       588.0   0.000000067
       589.0   0.000000013
       590.0   0.000000057
       591.0   0.000000104
       592.0   0.000000026
       593.0   0.000000101
       594.0   0.000000047
       595.0   0.000000005
       596.0   0.000000000
       597.0   0.000000000
       598.0   0.000000011
       599.0   0.000000014
       600.0   0.000000003
       601.0   0.000000000
       602.0   0.000000055
